REACTANT_1,REACTANT_2,CATALYST,ACTIVITY
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,1.3705878698454266
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.19081001101593775
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.5751127777574899
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.35476514526279934
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.6035896557640847
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,1.4075021214692987
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.35476514526279934
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.9823741929651749
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.3281348620123148
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
