REACTANT_1,REACTANT_2,CATALYST,ACTIVITY
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@@H]1CCC[N+]11CC2=CC=CC=C2C2=C(C1)C=CC=C2,0.10692565451739865
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=CC=CC=C2C2=C(C1)C=CC=C2,0.023700122353452823
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,C[C@H](C1=CC=CC=C1)[N+]1(C)CC2=CC=CC=C2C2=C(C1)C=CC=C2,-0.023700122353452868
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,C[C@H]([C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1)[N+]1(C)CC2=CC=CC=C2C2=C(C1)C=CC=C2,0.011848875973065331
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@@H]1CCC[N+]11CC2=C(Br)C(OC)=C(C=C2C2=C(C1)C(Br)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.047419225052922495
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=C(Br)C(OC)=C(C=C2C2=C(C1)C(Br)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.023700122353452823
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(Br)C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(Br)=C1C[N+](C)(C2)[C@H](C)C1=CC=CC=C1)C(C)(C)C,-0.366733714952809
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(Br)C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(Br)=C1C[N+](C)(C2)[C@H](C)[C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C,-0.13086281832475657
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CCC[N+]11CC2=C(C3=CC=CC=C3)C(OC)=C(C=C2C2=C(C1)C(C1=CC=CC=C1)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.07117637980593805
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=C(C3=CC=CC=C3)C(OC)=C(C=C2C2=C(C1)C(C1=CC=CC=C1)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.08307523430690288
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)C1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C)C1=CC=CC=C1,0.2156218428214379
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)[C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C)C1=CC=CC=C1,0.3929514466197692
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CCC[N+]11CC2=C(C3=CC=C(OC)C=C3)C(OC)=C(C=C2C2=C(C1)C(C1=CC=C(OC)C=C1)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,-0.0
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=C(C3=CC=C(OC)C=C3)C(OC)=C(C=C2C2=C(C1)C(C1=CC=C(OC)C=C1)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.07117637980593805
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=CC=C(C=C1)C1=C2C[N+](C)(CC3=C(C=C(C(OC)=C3C3=CC=C(OC)C=C3)C(C)(C)C)C2=CC(=C1OC)C(C)(C)C)[C@H](C)C1=CC=CC=C1,0.2525756649518156
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=CC=C(C=C1)C1=C2C[N+](C)(CC3=C(C=C(C(OC)=C3C3=CC=C(OC)C=C3)C(C)(C)C)C2=CC(=C1OC)C(C)(C)C)[C@H](C)[C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1,0.3537556702218614
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CCC[N+]11CC2=C(C3=CC=C(C=C3)C(C)(C)C)C(OC)=C(C=C2C2=C(C1)C(C1=CC=C(C=C1)C(C)(C)C)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.10692565451739865
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=C(C3=CC=C(C=C3)C(C)(C)C)C(OC)=C(C=C2C2=C(C1)C(C1=CC=C(C=C1)C(C)(C)C)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.14287020240579096
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)C1=CC=CC=C1)C1=CC=C(C=C1)C(C)(C)C)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C,0.3797976191751331
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)[C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C(C)(C)C)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C,0.6196569276339763
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CCC[N+]11CC2=C(C3=CC=C(C=C3)C3=CC=CC=C3)C(OC)=C(C=C2C2=C(C1)C(C1=CC=C(C=C1)C1=CC=CC=C1)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.09499084214527057
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=C(C3=CC=C(C=C3)C3=CC=CC=C3)C(OC)=C(C=C2C2=C(C1)C(C1=CC=C(C=C1)C1=CC=CC=C1)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.14287020240579096
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1)C(C)(C)C)C1=CC=C(C=C1)C1=CC=CC=C1,0.3537556702218614
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)[C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1)C(C)(C)C)C1=CC=C(C=C1)C1=CC=CC=C1,0.5019596300069218
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CCC[N+]11CC2=C(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(OC)=C(C=C2C2=C(C1)C(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,-0.22789032950915675
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC[C@H]1CC[C@H](COC)[N+]11CC2=C(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(OC)=C(C=C2C2=C(C1)C(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)=C(OC)C(=C2)C(C)(C)C)C(C)(C)C,0.09499084214527057
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(=C1C[N+](C)(C2)[C@H](C)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(C)(C)C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,1.3706529749666523
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C=1(C=CC=CC=1)CBr,COC1=C(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=C(C=C1C(C)(C)C)C1=CC(=C(OC)C(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)=C1C[N+](C)(C2)[C@H](C)[C@@H](OCC1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C,0.8399641257669818
